"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\Layout.jsx", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\MapShowcase.jsx", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\MapThumb.jsx", "JavaScript", 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\SVGElements\Hex.jsx", "JavaScript", 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\SiteNav.jsx", "JavaScript", 78, 0, 0, 0, 0, 1, 9, 88
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\SvgBox.jsx", "JavaScript", 107, 0, 0, 0, 0, 1, 11, 119
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\TextEditor\ColorPicker.jsx", "JavaScript", 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\TextEditor\Toolbar.jsx", "JavaScript", 95, 0, 0, 0, 0, 0, 7, 102
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\TextEditor\index.jsx", "JavaScript", 119, 0, 0, 0, 0, 1, 13, 133
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\Toolbar\ToolSelector.jsx", "JavaScript", 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\Components\Toolbar\index.jsx", "JavaScript", 172, 0, 0, 0, 0, 0, 4, 176
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 15, 35
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\contexts\contexts.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\contexts\sessionContext.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\middleware\mongodb.js", "JavaScript", 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\models\Hex.js", "JavaScript", 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\models\Map.js", "JavaScript", 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\models\User.js", "JavaScript", 17, 0, 0, 0, 0, 4, 3, 24
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\models\index.js", "JavaScript", 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\package-lock.json", "JSON", 0, 0, 10356, 0, 0, 0, 1, 10357
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\package.json", "JSON", 0, 0, 59, 0, 0, 0, 1, 60
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\_app.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\_document.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\auth\[...nextauth].js", "JavaScript", 35, 0, 0, 0, 0, 5, 3, 43
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\hello.js", "JavaScript", 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\[...maps].js", "JavaScript", 28, 0, 0, 0, 0, 3, 3, 34
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\all\user.js", "JavaScript", 30, 0, 0, 0, 0, 2, 4, 36
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\user\delete.js", "JavaScript", 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\user\get.js", "JavaScript", 38, 0, 0, 0, 0, 2, 3, 43
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\user\update.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\maps\user\upload.js", "JavaScript", 33, 0, 0, 0, 0, 2, 3, 38
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\api\uploadMap.js", "JavaScript", 28, 0, 0, 0, 0, 1, 2, 31
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\index.js", "JavaScript", 74, 0, 0, 0, 0, 0, 14, 88
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\pages\map.js", "JavaScript", 442, 0, 0, 0, 0, 4, 11, 457
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\arrows-move.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\brush-fill.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\brush.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\cursor-fill.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\cursor-text.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\svg\cursor.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\src\tests\Components\MapShowcase\MapShowcase.test.js", "JavaScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\src\tests\Components\MapThumb\MapThumb.test.js", "JavaScript", 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\src\tests\Components\SiteNav\SiteNav.test.js", "JavaScript", 50, 0, 0, 0, 0, 0, 3, 53
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\src\tests\Components\SvgBox\SvgBox.test.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\src\tests\index.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\styles\Home.module.css", "CSS", 0, 105, 0, 0, 0, 0, 18, 123
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\styles\Map.module.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Justin\Documents\GitHub\rpg-map-tool\styles\globals.css", "CSS", 0, 14, 0, 0, 0, 0, 3, 17
"Total", "-", 1770, 124, 10415, 20, 23, 32, 196, 12580